zip,donations,estimate,total,donations_per_1000
20906,5229,70749,113328.51000000157,73.90917186108638
20910,4974,44301,124519.65000000046,112.27737522855016
20912,343,26140,14698.359999999995,13.121652639632748
21001,1059,24752,32703.409999999927,42.78442146089205
21005,51,2872,1740.7099999999998,17.75766016713092
21009,5140,29905,66653.2000000004,171.87761243939138
21010,4,211,76,18.95734597156398
21012,3137,21600,92377.88000000056,145.2314814814815
21013,1870,4768,51311.059999999954,392.1979865771812
21014,7659,36538,148802.47000000265,209.61738464064808
21015,4943,29199,124358.7200000016,169.28661940477414
21017,616,6983,9860.279999999992,88.2142345696692
21028,651,2783,12705.77,233.9202299676608
21029,996,10895,55820.07999999995,91.4180816888481
21030,2511,24396,108375.52000000064,102.92670929660599
21031,3,0,121.07,Inf
21032,2557,8084,106763.8800000004,316.30380999505195
21034,196,3483,4830.949999999999,56.27332759115705
21035,1619,7957,105207.05000000032,203.46864396129195
21036,128,2112,7781.639999999995,60.60606060606061
21037,2560,21046,132253.67000000077,121.63831606956191
21040,1925,24166,35919.79999999996,79.65736985847884
21042,5156,41195,197983.37000000064,125.16082048792329
21043,6185,47351,122321.36000000112,130.62026145171168
21044,2871,44256,89628.98000000049,64.87255965292842
21045,2114,40365,65944.75000000004,52.37210454601759
21046,1732,15655,41757.79999999992,110.63557968700096
21047,1600,12266,55999.08000000003,130.44187184086093
21048,1342,10276,54494.54000000002,130.59556247567147
21050,2703,18123,80880.23000000008,149.1474921370634
21051,23,295,1247.9199999999998,77.96610169491527
21052,33,211,576.63,156.39810426540285
21053,1337,3225,18719.859999999982,414.57364341085275
21054,1243,11199,55027.50999999999,110.99205286186267
21056,146,158,61699,924.0506329113924
21057,803,4232,30587.21999999996,189.74480151228735
21060,2913,34899,77188.22000000016,83.46944038511133
21061,4334,53860,94884.25000000096,80.46787968808022
21071,73,581,2712.2000000000007,125.64543889845095
21074,1937,15166,41324.14,127.71989977581433
21075,1098,33726,38737.78999999992,32.55648461127913
21076,1184,17442,37133.1999999999,67.88212360967778
21077,3,276,86.21000000000001,10.869565217391305
21078,3100,18366,79610.61000000061,168.79015572253076
21082,236,656,4434.750000000003,359.7560975609756
21084,1880,7603,31766.83999999992,247.2708141523083
21085,2769,16055,60720.31000000001,172.46963562753038
21087,2194,5394,51768.68000000009,406.74823878383387
21090,912,9991,24629.47999999995,91.2821539385447
21093,9103,37996,260605.55000000255,239.5778503000316
21102,1820,11787,33108.76999999995,154.40739798082635
21104,1121,5762,24535.42999999998,194.55050329746615
21108,2665,18782,93759.31000000042,141.89117239910553
21111,900,5387,31044.06999999993,167.06886950064973
21113,2621,34473,93812.13000000056,76.03051663620805
21114,5108,27303,183088.8100000013,187.08566824158518
21117,3482,59301,100675.68000000092,58.71739093775822
21120,1165,7095,36591.729999999945,164.200140944327
21122,9814,61051,198584.7000000016,160.7508476519631
21128,1706,13985,38107.33999999993,121.9878441186986
21130,5,156,202,32.05128205128205
21131,986,7282,53588.45,135.4023619884647
21132,1935,3232,26892.71999999997,598.700495049505
21133,853,33299,11557.72999999996,25.616384876422714
21136,5753,34177,117010.2300000019,168.3295783714194
21140,372,3564,14685.769999999997,104.37710437710437
21144,4088,35335,93118.1200000007,115.69265600679213
21146,4267,27555,170297.64000000138,154.8539285066231
21152,506,5462,25937.42999999998,92.64005858659831
21153,84,447,9404.070000000003,187.91946308724832
21154,1432,5804,32637.779999999988,246.7263955892488
21155,225,2532,8949.849999999999,88.86255924170617
21156,38,316,1853.68,120.25316455696203
21157,4538,37749,133764.6600000017,120.21510503589498
21158,2036,20906,62736.160000000025,97.38830957619822
21160,432,2933,7897.949999999998,147.2894647118991
21161,855,5601,25529.959999999937,152.65131226566683
21162,327,4331,8861.850000000008,75.50219348880167
21163,2253,7030,31190.8699999999,320.4836415362731
21201,1094,17256,21142.500000000044,63.39823829392675
21202,492,21784,22378.09999999997,22.585383767903046
